Summary,Issue Type,Priority,Description,Labels,Components
[TC_001] Verify CMS-configured bottom nav icon auto-plays Lottie animation on cold start app launch,Test,P0,"*Test Case ID:* TC_001
*Requirement ID:* FR-001
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
User logged in; CMS configured with one animating icon (e.g. Favourites); app force-killed; cold start

*Test Data:*
CMS animating icon = Favourites; loop count = 2

*Test Steps:*
1. Force-kill the TPMA app
2. Launch app (cold start)
3. Observe bottom navigation bar
4. Identify the CMS-configured icon

*Expected Result:*
The CMS-configured bottom nav icon (e.g. Favourites) begins playing its unselected Lottie auto-play animation immediately after app launch","qa,fsd,positive,frontend",Bottom Navigation - Auto-play
[TC_002] Verify auto-play animation completes exactly 2 loops per default CMS configuration,Test,P0,"*Test Case ID:* TC_002
*Requirement ID:* FR-002
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
Cold start; CMS loop count = 2; animation configured for one icon

*Test Data:*
Loop count = 2

*Test Steps:*
1. Cold start app with loop count configured as 2
2. Count animation loop cycles on the configured icon
3. Observe icon state after final loop

*Expected Result:*
Animation plays exactly 2 complete loops then stops","qa,fsd,positive,frontend",Bottom Navigation - Auto-play
[TC_003] Verify icon returns to static unselected state after auto-play animation completes,Test,P0,"*Test Case ID:* TC_003
*Requirement ID:* FR-003
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
Cold start; user does not interact with animating icon; animation allowed to complete

*Test Data:*
CMS animating icon = On Demand

*Test Steps:*
1. Cold start app
2. Allow auto-play animation to complete all configured loops without tapping
3. Observe animating icon state

*Expected Result:*
After animation completes, the icon displays in static unselected state (no ongoing Lottie animation)","qa,fsd,positive,frontend",Bottom Navigation - Auto-play
[TC_004] Verify auto-play does not replay within same app session after initial completion,Test,P0,"*Test Case ID:* TC_004
*Requirement ID:* FR-004
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
User completed auto-play animation once in current session; session flag set

*Test Data:*
Completed auto-play session

*Test Steps:*
1. Complete auto-play animation on cold start
2. Navigate between bottom nav tabs
3. Background and foreground app without force-kill
4. Observe animating icon

*Expected Result:*
Auto-play animation does NOT replay within the same app session after initial completion (per Scope: once per session)","qa,fsd,positive,frontend",Bottom Navigation - Session
[TC_005] Verify tapping animating icon during animation stops Lottie immediately,Test,P0,"*Test Case ID:* TC_005
*Requirement ID:* FR-005
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
Cold start; auto-play animation in progress on configured icon

*Test Data:*
CMS animating icon = Favourites

*Test Steps:*
1. Cold start app and wait for animation to begin
2. Tap the animating icon before animation completes
3. Observe animation state at moment of tap

*Expected Result:*
Lottie auto-play animation stops immediately upon user tap before completion","qa,fsd,positive,frontend",Bottom Navigation - Tap During Animation
[TC_006] Verify selected state Lottie plays when user taps animating icon during animation,Test,P0,"*Test Case ID:* TC_006
*Requirement ID:* FR-019
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
Cold start; auto-play animation in progress

*Test Data:*
CMS animating icon = Live TV

*Test Steps:*
1. Cold start app
2. Tap animating Live TV icon during auto-play
3. Observe icon visual state

*Expected Result:*
Selected state Lottie animation plays for the tapped icon","qa,fsd,positive,frontend",Bottom Navigation - Tap During Animation
[TC_007] Verify app navigates to tapped tab when user taps animating icon during animation,Test,P0,"*Test Case ID:* TC_007
*Requirement ID:* FR-006
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
Cold start; auto-play in progress on configured icon

*Test Data:*
CMS animating icon = My Account

*Test Steps:*
1. Cold start app from a different default tab
2. Tap animating My Account icon during animation
3. Observe screen content

*Expected Result:*
App navigates to My Account tab content","qa,fsd,positive,frontend",Bottom Navigation - Tap During Animation
[TC_008] Verify tapped animating icon remains in selected highlighted state after tap,Test,P0,"*Test Case ID:* TC_008
*Requirement ID:* FR-005
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
User tapped animating icon during animation

*Test Data:*
Tapped during animation

*Test Steps:*
1. Tap animating icon during auto-play
2. Observe icon state after navigation completes
3. Wait 5 seconds without further interaction

*Expected Result:*
Icon remains in selected (highlighted) state after tap during animation","qa,fsd,positive,frontend",Bottom Navigation - Tap During Animation
[TC_009] Verify animation continues when user taps a non-animating bottom nav icon,Test,P0,"*Test Case ID:* TC_009
*Requirement ID:* FR-025
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
Cold start; auto-play animation in progress on configured icon

*Test Data:*
Animating icon = Favourites; tap target = On Demand

*Test Steps:*
1. Cold start app and wait for Favourites animation to begin
2. Tap On Demand icon (non-animating)
3. Observe Favourites icon animation state

*Expected Result:*
Auto-play animation on the configured icon continues playing until that icon is selected/tapped","qa,fsd,positive,frontend",Bottom Navigation - Other Icon Tap
[TC_010] Verify tapping non-animating icon navigates to that tab while animation continues on configured icon,Test,P0,"*Test Case ID:* TC_010
*Requirement ID:* FR-025
*Test Type:* Positive
*Layer:* Integration

*Preconditions:*
Auto-play in progress; user taps different icon

*Test Data:*
Animating = Favourites; navigate to Live TV

*Test Steps:*
1. Start auto-play on Favourites
2. Tap Live TV icon
3. Verify current screen and Favourites icon animation

*Expected Result:*
App navigates to Live TV tab; Favourites icon animation continues in bottom nav until Favourites is selected","qa,fsd,positive,integration",Bottom Navigation - Other Icon Tap
[TC_011] Verify navigating to auto-play icon tab makes it selected,Test,P0,"*Test Case ID:* TC_011
*Requirement ID:* FR-010
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
Auto-play configured icon; user navigates to that tab via tap or programmatic navigation

*Test Data:*
CMS animating icon = On Demand

*Test Steps:*
1. Cold start app
2. Navigate to On Demand tab (animating icon)
3. Observe icon selected state

*Expected Result:*
Auto-play configured icon displays in selected (highlighted) state when user navigates to its tab","qa,fsd,positive,frontend",Bottom Navigation - Navigation
[TC_012] Verify returning to auto-play icon tab after navigating away shows unselected state with no re-animation,Test,P0,"*Test Case ID:* TC_012
*Requirement ID:* FR-011
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
User previously visited auto-play icon tab; navigated to another tab; animation already completed or stopped

*Test Data:*
Post-animation session

*Test Steps:*
1. Complete or stop auto-play animation
2. Navigate to auto-play icon tab
3. Navigate to another bottom nav tab
4. Return to original auto-play icon tab
5. Observe icon state

*Expected Result:*
Auto-play icon stays in unselected static state; no Lottie auto-play re-triggers on return","qa,fsd,positive,frontend",Bottom Navigation - Navigation
[TC_013] Verify Home icon is never animated regardless of CMS configuration,Test,P0,"*Test Case ID:* TC_013
*Requirement ID:* FR-012
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
CMS may attempt to configure Home; Home icon hardcoded as always selected on FE

*Test Data:*
Any CMS config

*Test Steps:*
1. Launch app on cold start
2. Observe Home icon in bottom navigation
3. Verify no Lottie auto-play on Home icon

*Expected Result:*
Home icon is never animated; Home remains in selected state as hardcoded on FE","qa,fsd,positive,frontend",Bottom Navigation - Home Icon
[TC_014] Verify only one bottom nav icon animates at a time per session,Test,P0,"*Test Case ID:* TC_014
*Requirement ID:* FR-013
*Test Type:* Positive
*Layer:* Frontend

*Preconditions:*
CMS configured with single animating icon

*Test Data:*
One icon configured (e.g. Favourites)

*Test Steps:*
1. Cold start app
2. Observe all bottom nav icons during auto-play window
3. Count icons with active Lottie animation

*Expected Result:*
Exactly one bottom nav icon plays auto-play Lottie animation at any given time","qa,fsd,positive,frontend",Bottom Navigation - CMS Config
[TC_015] Verify CMS-configured icon selection determines which icon auto-plays,Test,P0,"*Test Case ID:* TC_015
*Requirement ID:* FR-014
*Test Type:* Positive
*Layer:* Integration

*Preconditions:*
CMS configured to animate specific icon (e.g. Live TV)

*Test Data:*
CMS animating icon = Live TV

*Test Steps:*
1. Set CMS to animate Live TV icon
2. Cold start app
3. Observe which icon animates

*Expected Result:*
Only the icon specified in CMS configuration (Live TV) auto-plays; other icons remain static","qa,fsd,positive,integration",Bottom Navigation - CMS Config
[TC_016] Verify CMS-configurable loop count is respected when set to non-default value,Test,P1,"*Test Case ID:* TC_016
*Requirement ID:* FR-015
*Test Type:* Positive
*Layer:* Integration

*Preconditions:*
CMS loop count configured to a test value (e.g. 3)

*Test Data:*
Loop count = 3

*Test Steps:*
1. Configure CMS loop count to 3
2. Cold start app
3. Count animation loops on configured icon

*Expected Result:*
Animation plays exactly the number of loops specified in CMS configuration (3 loops)","qa,fsd,positive,integration",Bottom Navigation - CMS Config
